feature,importance
engagement_rate,3443
followers_gained,1508
avg_engagement_last_10_posts,1485
caption_per_hashtag,1422
avg_comments_last_10_posts,1256
avg_likes_last_10_posts,1238
avg_comment_ratio,1165
caption_length,1112
avg_like_ratio,1065
week_of_year,957
hours_since_last_post,792
post_hour,779
content_category,605
total_posts_count,548
follower_count,473
day_of_week,467
hashtags_count,459
traffic_source,449
month,343
avg_engagement_ratio,302
media_type,245
has_call_to_action,132
posting_frequency_per_week,120
is_night,119
account_type,104
followers_log,102
is_afternoon,75
weekend_flag,74
is_morning,64
is_evening,58
quarter,22
posts_per_day,14
days_since_last_post,3
