feature,importance
followers_gained,1693
avg_engagement_last_10_posts,1657
engagement_rate,1636
avg_likes_last_10_posts,1488
caption_per_hashtag,1423
avg_comments_last_10_posts,1375
avg_comment_ratio,1332
caption_length,1271
avg_like_ratio,1122
week_of_year,1051
hours_since_last_post,891
post_hour,871
content_category,709
total_posts_count,663
traffic_source,575
hashtags_count,496
day_of_week,492
follower_count,420
month,347
avg_engagement_ratio,312
media_type,233
has_call_to_action,164
posting_frequency_per_week,141
account_type,135
followers_log,89
is_morning,85
weekend_flag,82
is_evening,77
is_night,64
is_afternoon,63
days_since_last_post,20
quarter,15
posts_per_day,8
