feature,importance
engagement_rate,3656
followers_gained,1592
avg_engagement_last_10_posts,1487
caption_per_hashtag,1247
avg_comment_ratio,1236
avg_likes_last_10_posts,1224
avg_comments_last_10_posts,1190
caption_length,1129
avg_like_ratio,1030
week_of_year,984
hours_since_last_post,804
post_hour,784
total_posts_count,601
content_category,539
day_of_week,462
follower_count,450
traffic_source,438
hashtags_count,404
month,347
avg_engagement_ratio,312
media_type,233
has_call_to_action,144
posting_frequency_per_week,126
account_type,102
is_night,102
followers_log,94
is_afternoon,77
weekend_flag,63
is_evening,57
is_morning,55
quarter,16
posts_per_day,11
days_since_last_post,4
