feature,importance
engagement_rate,9125
followers_gained,5011
avg_engagement_last_10_posts,4496
caption_per_hashtag,4317
avg_comments_last_10_posts,3534
avg_likes_last_10_posts,3468
caption_length,3325
avg_like_ratio,3085
avg_comment_ratio,2949
week_of_year,2927
hours_since_last_post,2615
post_hour,2515
content_category,2045
total_posts_count,2016
day_of_week,1560
traffic_source,1447
follower_count,1222
hashtags_count,905
media_type,734
month,715
has_call_to_action,409
account_type,401
is_afternoon,303
weekend_flag,289
is_morning,255
is_night,164
is_evening,154
days_since_last_post,10
quarter,4
followers_log,0
posting_frequency_per_week,0
posts_per_day,0
avg_engagement_ratio,0
