feature,importance
engagement_rate,1790
followers_gained,1688
avg_engagement_last_10_posts,1623
avg_likes_last_10_posts,1451
caption_per_hashtag,1413
avg_comments_last_10_posts,1297
avg_comment_ratio,1292
caption_length,1280
avg_like_ratio,1200
week_of_year,1054
hours_since_last_post,845
post_hour,821
content_category,702
total_posts_count,638
traffic_source,534
day_of_week,525
hashtags_count,495
follower_count,481
month,344
avg_engagement_ratio,330
media_type,279
has_call_to_action,153
account_type,133
posting_frequency_per_week,129
is_morning,100
followers_log,84
weekend_flag,80
is_night,76
is_afternoon,70
is_evening,57
quarter,16
posts_per_day,13
days_since_last_post,7
