feature,importance
engagement_rate,3487
avg_engagement_last_10_posts,1567
followers_gained,1544
caption_per_hashtag,1283
avg_comments_last_10_posts,1283
avg_likes_last_10_posts,1251
caption_length,1172
avg_comment_ratio,1148
avg_like_ratio,1063
week_of_year,965
hours_since_last_post,855
post_hour,800
total_posts_count,600
content_category,544
follower_count,449
day_of_week,431
hashtags_count,423
traffic_source,410
avg_engagement_ratio,342
month,320
media_type,195
posting_frequency_per_week,129
has_call_to_action,124
is_night,112
account_type,93
weekend_flag,90
is_morning,79
is_afternoon,78
followers_log,72
is_evening,59
posts_per_day,14
quarter,11
days_since_last_post,7
