feature,importance
engagement_rate,3563
followers_gained,1576
avg_engagement_last_10_posts,1563
caption_per_hashtag,1338
avg_likes_last_10_posts,1283
avg_comments_last_10_posts,1240
avg_comment_ratio,1188
caption_length,1073
avg_like_ratio,1011
week_of_year,953
post_hour,776
hours_since_last_post,750
total_posts_count,592
content_category,563
traffic_source,472
day_of_week,459
hashtags_count,447
follower_count,384
month,362
avg_engagement_ratio,340
media_type,224
has_call_to_action,149
is_night,134
posting_frequency_per_week,126
account_type,95
is_morning,76
followers_log,73
is_afternoon,56
weekend_flag,54
is_evening,42
quarter,21
posts_per_day,10
days_since_last_post,7
