feature,importance
engagement_rate,1273
followers_gained,657
avg_likes_last_10_posts,634
avg_comments_last_10_posts,506
week_of_year,404
avg_comment_ratio,371
post_hour,356
content_category,353
avg_engagement_last_10_posts,349
total_posts_count,333
caption_length,316
follower_count,302
caption_per_hashtag,267
hours_since_last_post,263
avg_like_ratio,215
traffic_source,192
media_type,152
hashtags_count,143
month,101
day_of_week,100
account_type,38
is_afternoon,37
is_evening,21
has_call_to_action,15
weekend_flag,7
is_morning,6
is_night,5
quarter,0
days_since_last_post,0
followers_log,0
posting_frequency_per_week,0
posts_per_day,0
avg_engagement_ratio,0
